	GName	Class	MF	Mass	HMDB	KEGG	PC	Nam2
	"Carnitine C14:1(OH)"	Lipids	C21H39NO5	385.282823	HMDB13330		53481679	"Carnitine C14:1(OH)"
	"Streptomycin 6-phosphate"	todo2	C21H40N7O15P	661.232	NA	C01138	11953794	"Streptomycin 6-phosphate"
	1-oleoylglycerol	Lipids	C21H40O4	356.29266	HMDB11567;HMDB11566		5283468	1-oleoylglycerol
	2-oleoylglycerol	Lipids	C21H40O4	356.29266	HMDB11537;HMDB11536		5319879	2-oleoylglycerol
	"Butirosin A"	todo2	C21H41N5O12	555.275172	NA	C17585	12302171	"Butirosin A"
	"Butirosin B"	todo2	C21H41N5O12	555.275172	NA	C17586	12302172	"Butirosin B"
	"Carnitine C14:0"	Lipids	C21H41NO4	371.303559	HMDB05066		53477791	"Carnitine C14:0"
	"Carnitine C14:0(OH)"	Lipids	C21H41NO5	387.298473	HMDB13166;HMDB61640		53481642	"Carnitine C14:0(OH)"
	"Dihydrostreptomycin 6-phosphate"	todo2	C21H42N7O15P	663.24765	NA	C01221	439445	"Dihydrostreptomycin 6-phosphate"
	1-stearoylglycerol	Lipids	C21H42O4	358.30831	HMDB11131		24699	1-stearoylglycerol
	2-stearoylglycerol	Lipids	C21H42O4	358.30831	HMDB11535		79075	2-stearoylglycerol
	1-palmitoylglycerophosphoethanolamine	Lipids	C21H44NO7P	453.285539	HMDB11503		9547069	1-palmitoylglycerophosphoethanolamine
	Macarpine	todo2	C22H17NO6	391.105587	NA	C06165	440929	Macarpine
	Dihydromacarpine;;13,14-Dihydro-5,7-dimethoxy-13-methyl-[1,3]benzodioxolo[5,6-c]-1,3-dioxolo[4,5-i]phenanthridine	todo2	C22H19NO6	393.121237	NA	C05316	440631	Dihydromacarpine
	SN-38	todo2	C22H20N2O5	392.137222	NA	C11173	104842	SN-38
	Anhydrochlortetracycline;;Anhydro-7-chlorotetracycline	todo2	C22H21ClN2O7	460.103729	NA	C18297	54693278	Anhydrochlortetracycline
	"Novobiocic acid"	todo2	C22H21NO6	395.136887	NA	C12474	54691348	"Novobiocic acid"
	Anhydrotetracycline	todo2	C22H22N2O7	426.142701	NA	C02811	54675758	Anhydrotetracycline
	5a,11a-Dehydrotetracycline;;12-Dehydrotetracycline	todo2	C22H22N2O8	442.137616	NA	C03206	54675762	5a,11a-Dehydrotetracycline
	5a,11a-Dehydrooxytetracycline	todo2	C22H22N2O9	458.13253	NA	C18296	54726726	5a,11a-Dehydrooxytetracycline
	"Biochanin A-beta-D-glucoside;;Biochanin A 7-O-beta-D-glucoside;;Sissotrin"	todo2	C22H22O10	446.121297	NA	C05376	5280781	"Biochanin A-beta-D-glucoside"
	"Trifolirhizin;;(-)-Maackiain 3-O-glucoside"	todo2	C22H22O10	446.121297	HMDB23173	C10538	442827	Trifolirhizin
	"Glycitin;;Glycitein 7-O-glucoside"	todo2	C22H22O10	446.121297	NA	C16195	187808	Glycitin
	"Peonidin 3-O-glucoside;;Peonidin-3-glucoside"	todo2	C22H22O11	462.116212	HMDB13689	C12141	443654	"Peonidin 3-O-glucoside"
	"Petunidin 3-O-glucoside;;Petunidin 3-glucoside"	todo2	C22H22O12	478.111126	HMDB38097	C12139	443651	"Petunidin 3-O-glucoside"
	"Ononin;;Formononetin 7-O-glucoside"	todo2	C22H22O9	430.126382	HMDB20282	C10509	442813	Ononin
	Chlortetracycline;;7-Chlorotetracycline;;Aureomycin	todo2	C22H23ClN2O8	478.114293	NA	C06571	54675777	Chlortetracycline
	Tetracycline	todo2	C22H24N2O8	444.153266	HMDB14897	C06570	54675776	Tetracycline
	"Oxytetracycline;;Oxytetracycline anhydrous"	todo2	C22H24N2O9	460.14818	HMDB30518	C06624	54675779	Oxytetracycline
	"Hesperetin 7-O-glucoside"	todo2	C22H24O11	464.131862	NA	C16422	147394	"Hesperetin 7-O-glucoside"
	"(-)-Medicocarpin;;Medicarpin 3-O-glucoside"	todo2	C22H24O9	432.142032	HMDB20143	C16223	23724664	(-)-Medicocarpin
	Lobelanine	todo2	C22H25NO2	335.188529	NA	C10157	442647	Lobelanine
	Colchicine	todo2	C22H25NO6	399.168188	HMDB15466	C07592	6167	Colchicine
	N-Formyldemecolcine	todo2	C22H25NO6	399.168188	NA	C16710	26819	N-Formyldemecolcine
	16-Methoxytabersonine	todo2	C22H26N2O3	366.194343	NA	C11675	443356	16-Methoxytabersonine
	Lochnerinine	todo2	C22H26N2O4	382.189257	NA	C11812	443417	Lochnerinine
	Lobeline;;(-)-Lobeline	todo2	C22H27NO2	337.204179	HMDB26324	C07475	101616	Lobeline
	Corydaline;;(+)-Corydaline	todo2	C22H27NO4	369.194008	NA	C15530	101301	Corydaline
	O-Methylandrocymbine	todo2	C22H27NO5	385.188923	NA	C16709	15286666	O-Methylandrocymbine
	Kreysigine	todo2	C22H27NO5	385.188923	NA	C16714	15560400	Kreysigine
	16-Methoxy-2,3-dihydro-3-hydroxytabersonine	todo2	C22H28N2O4	384.204907	NA	C04578	440391	16-Methoxy-2,3-dihydro-3-hydroxytabersonine
	L-alpha-Acetyl-N-normethadol;;nor-LAAM	todo2	C22H29NO2	339.219829	NA	C16661	135260	L-alpha-Acetyl-N-normethadol
	"Docosahexaenoic acid"	Lipids	C22H32O2	328.24023	HMDB02183	C06429	445580	"Docosahexaenoic acid"
	"10-Deacetyl-2-debenzoylbaccatin III"	todo2	C22H32O9	440.204633	NA	C11899	443489	"10-Deacetyl-2-debenzoylbaccatin III"
	Veatchine	todo2	C22H33NO2	343.251129	NA	C06092	440912	Veatchine
	"CMP-pseudaminic acid"	todo2	C22H34N5O15P	639.178902	NA	C20083	56927850	"CMP-pseudaminic acid"
	CMP-N,N-diacetyllegionaminate	todo2	C22H34N5O15P	639.178902	NA	C20419	70678953	CMP-N,N-diacetyllegionaminate
	"2-(S-Glutathionyl)acetyl glutathione"	todo2	C22H34N6O13S2	654.162527	NA	C14863	11954072	"2-(S-Glutathionyl)acetyl glutathione"
	"Docosapentaenoic acid"	Lipids	C22H34O2	330.25588	HMDB01976	C16513	6441454;5497182	"Docosapentaenoic acid"
	"Taxa-4(20),11(12)-dien-5alpha-yl acetate"	todo2	C22H34O2	330.25588	NA	C11896	443486	"Taxa-4(20),11(12)-dien-5alpha-yl acetate"
	"Ginkgoic acid"	Xenobiotics	C22H34O3	346.250795	HMDB33897	C10794	5317600	"Ginkgoic acid"
	"Taxa-4(20),11(12)-dien-5alpha-acetoxy-10beta-ol;;10beta-Hydroxytaxa-4(20),11-dien-5alpha-yl acetate;;5alpha-Acetoxytaxa-4(20),11(12)-dien-10beta-ol"	todo2	C22H34O3	346.250795	NA	C11898	443488	Taxa-4(20),11(12)-dien-5alpha-acetoxy-10beta-ol
	"10beta,14beta-Dihydroxytaxa-4(20),11-dien-5alpha-yl acetate;;5alpha-Acetoxy-10beta,14beta-dihydroxytaxadiene"	todo2	C22H34O4	362.24571	NA	C20151	5321779	"10beta,14beta-Dihydroxytaxa-4(20),11-dien-5alpha-yl acetate"
	Aerobactin	todo2	C22H36N4O13	564.227887	HMDB04051	C05554	123762	Aerobactin
	Formyl-CoA	todo2	C22H36N7O17P3S	795.110124	HMDB03419	C00798	3082032	Formyl-CoA
	"Adrenic acid"	Lipids	C22H36O2	332.27153	HMDB02226	C16527	5282844	"Adrenic acid"
	"Anacardic acid"	Xenobiotics	C22H36O3	348.266445	HMDB33896		167551	"Anacardic acid"
	"Docosatrienoic acid"	Lipids	C22H38O2	334.28718	HMDB02823	C16534	5312556	"Docosatrienoic acid"
	"Docosadienoic acid"	Lipids	C22H40O2	336.302831		C16533	5282807	"Docosadienoic acid"
	"Docosenoic acid"	Lipids	C22H42O2	338.318481	HMDB02068	C08316	5281116	"Docosenoic acid"
	22-Oxo-docosanoate	todo2	C22H42O3	354.313395	NA	C19624	52940145	22-Oxo-docosanoate
	Docosanedioate	todo2	C22H42O4	370.30831	NA	C19625	244872	Docosanedioate
	PCae(14:1)	Lipids	C22H44NO7P	465.285539	HMDB10380		24779456	PCae(14:1)
	"Behenic acid"	Lipids	C22H44O2	340.334131	HMDB00944	C08281	8215	"Behenic acid"
	22-Hydroxydocosanoate	todo2	C22H44O3	356.329045	NA	C19623	5282922	22-Hydroxydocosanoate
	PCae(14:0)	Lipids	C22H46NO7P	467.301189	HMDB10379		460604;24779490	PCae(14:0)
	Rotenone	todo2	C23H22O6	394.141638	HMDB20769	C07593	6758	Rotenone
	"Isonocardicin A;;1-Azetidineacetic acid"	todo2	C23H24N4O9	500.154328	NA	C00927	6419424	"Isonocardicin A"
	"Nocardicin A"	todo2	C23H24N4O9	500.154328	NA	C01941	6400657	"Nocardicin A"
	"Malvidin 3-O-glucoside;;Enin;;Malvidin-3-glucoside"	todo2	C23H24O12	492.126776	HMDB30777	C12140	443652	"Malvidin 3-O-glucoside"
	"Nocardicin C"	todo2	C23H26N4O8	486.175064	NA	C17351	13770100	"Nocardicin C"
	"Isonocardicin C"	todo2	C23H26N4O8	486.175064	NA	C17352	25201123	"Isonocardicin C"
	Morphine-6-glucuronide	todo2	C23H27NO9	461.168581	HMDB41937	C16578	5360621	Morphine-6-glucuronide
	Morphine-3-glucuronide	todo2	C23H27NO9	461.168581	HMDB41936	C16643	5484731	Morphine-3-glucuronide
	Echitovenine	todo2	C23H28N2O4	396.204907	NA	C11784	443402	Echitovenine
	Desacetoxyvindoline;;16-Methoxy-2,3-dihydro-3-hydroxy-N-methyltabersonine;;Deacetoxyvindoline	todo2	C23H30N2O4	398.220557	NA	C02673	439783	Desacetoxyvindoline
	Deacetylvindoline;;17-O-Deacetylvindoline;;Desacetylvindoline	todo2	C23H30N2O5	414.215472	NA	C01091	260534	Deacetylvindoline
	"Levomethadyl acetate;;LAAM"	todo2	C23H31NO2	353.235479	HMDB15358	C08012	15130	"Levomethadyl acetate"
	UDP-N-acetylmuramoyl-L-alanine;;UDP-N-acetyl-alpha-D-muramoyl-L-alanine	todo2	C23H36N4O20P2	750.139813	NA	C01212	5496796	UDP-N-acetylmuramoyl-L-alanine
	Oxalyl-CoA	todo2	C23H36N7O19P3S	839.099953	NA	C00313	11966123	Oxalyl-CoA
	"Leukotriene E4;;LTE4;;(7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyeicosa-7,9,11,14-tetraenoate;;(7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate"	todo2	C23H37NO5S	439.239244	HMDB02200	C05952	5280879	"Leukotriene E4"
	"20-Hydroxyleukotriene E4;;20-OH-LTE4;;20-OH-Leukotriene E4"	todo2	C23H37NO6S	455.234159	HMDB12639	C03577	5280606	"20-Hydroxyleukotriene E4"
	Volicitin;;N-(17-Hydroxylinolenoyl)-L-glutamine	todo2	C23H38N2O5	422.278072	NA	C16345	23724728	Volicitin
	AcetylCoA	"Cofactors and vitamins"	C23H38N7O17P3S	809.125774	HMDB01206	C00024	444493	AcetylCoA
	"Carnitine C16:2"	Lipids	C23H41NO4	395.303559	HMDB13334		53481687	"Carnitine C16:2"
	"3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate"	todo2	C23H41O6P	444.264076	NA	C04590	11705814	"3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate"
	"6-Deamino-6-oxoneomycin C;;6-Oxoneomycin C;;6-Deamino-6-dehydro-6-oxoneomycin C"	todo2	C23H43N5O14	613.280651	NA	C17589	46173952	"6-Deamino-6-oxoneomycin C"
	"Carnitine C16:1"	Lipids	C23H43NO4	397.319209	HMDB13207;HMDB06317		53477817;53481653	"Carnitine C16:1"
	"Carnitine C16:1(OH)"	Lipids	C23H43NO5	413.314123	HMDB13333		53481685	"Carnitine C16:1(OH)"
	1-linoleoylglycerophosphoethanolamine	Lipids	C23H44NO7P	477.285539	HMDB11507		52925130	1-linoleoylglycerophosphoethanolamine
	"6-Deamino-6-hydroxyneomycin C;;6-Hydroxyneomycin C"	todo2	C23H45N5O14	615.296301	NA	C17588	46173951	"6-Deamino-6-hydroxyneomycin C"
	"Carnitine C16:0"	Lipids	C23H45NO4	399.334859	HMDB00222	C02990	461	"Carnitine C16:0"
	"Carnitine C16:0(OH)"	Lipids	C23H45NO5	415.329774	HMDB13337;HMDB13336		53481693;53481691	"Carnitine C16:0(OH)"
	"Neomycin B;;Fradiomycin B;;Framycetin"	todo2	C23H46N6O13	614.312286	HMDB14595	C01737	8378	"Neomycin B"
	"Neomycin C"	todo2	C23H46N6O13	614.312286	NA	C15652	456194	"Neomycin C"
	1-oleoylglycerophosphoethanolamine	Lipids	C23H46NO7P	479.301189	HMDB11506		9547071	1-oleoylglycerophosphoethanolamine
	PCae(15:0)	Lipids	C23H48NO7P	481.31684	HMDB10381	C04230	24779458	PCae(15:0)
	Sphingosyl-phosphocholine	todo2	C23H49N2O5P	464.337909	HMDB06482	C03640	5280613	Sphingosyl-phosphocholine
	Malonyldaidzin	todo2	C24H22O12	502.111126	HMDB28246	C16191	9913968	Malonyldaidzin
	"Pelargonidin 3-O-(6-O-malonyl-beta-D-glucoside)"	todo2	C24H22O13	518.106041	NA	C12642	443913	"Pelargonidin 3-O-(6-O-malonyl-beta-D-glucoside)"
	Malonylgenistin	todo2	C24H22O13	518.106041	HMDB29529	C16192	15934091	Malonylgenistin
	"Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside);;Cyanidin 3-O-(6-O-malonylglucoside);;Cyanidin-3-(6-malonylglucoside)"	todo2	C24H22O14	534.100955	NA	C12643	443915	"Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside)"
	"Quercetin 3-O-(6-O-malonyl-beta-D-glucoside);;Quercetin 3-O-malonylglucoside;;Quercetin-3-O-(6-malonylglucoside)"	todo2	C24H22O15	550.09587	HMDB37368	C12638	5282159	"Quercetin 3-O-(6-O-malonyl-beta-D-glucoside)"
	"Delphinidin 3-O-(6-O-malonyl)-beta-D-glucoside"	todo2	C24H22O15	550.09587	HMDB29247	C16301	14311158	"Delphinidin 3-O-(6-O-malonyl)-beta-D-glucoside"
	N,N-Didesmethyltamoxifen	todo2	C24H25NO	343.193614	NA	C16548	3036172	N,N-Didesmethyltamoxifen
	"Coenzyme F420-1"	todo	C24H29N4O15P	644.136703		C19152	45480638	"Coenzyme F420-1"
	Demethylalangiside	todo2	C24H29NO10	491.179146	NA	C11813	443418	Demethylalangiside
	Demethylisoalangiside	todo2	C24H29NO10	491.179146	NA	C11814	443419	Demethylisoalangiside
	Codeine-6-glucuronide	todo2	C24H29NO9	475.184232	NA	C16577	5489029	Codeine-6-glucuronide
	THF-L-glutamate;;Tetrahydropteroyldiglutamate;;(6S)-H4PteGlu2	todo2	C24H30N8O9	574.213575	NA	C09332	90658597	THF-L-glutamate
	"Estrone glucuronide;;Estrone 3-glucuronide;;Estrone beta-D-glucuronide"	todo2	C24H30O8	446.194068	HMDB04483	C11133	115255	"Estrone glucuronide"
	"Estradiol-17beta 3-glucuronide;;17beta-Estradiol 3-(beta-D-glucuronide)"	todo2	C24H32O8	448.209718	NA	C05503	440713	"Estradiol-17beta 3-glucuronide"
	"16-Glucuronide-estriol;;16alpha,17beta-Estriol 16-(beta-D-glucuronide)"	todo2	C24H32O9	464.204633	HMDB06766	C05504	122281	16-Glucuronide-estriol
	PropenoylCoA	todo	C24H38N7O17P3S	821.125774	HMDB02307	C00894	9543026	PropenoylCoA
	MalonylCoA	Energy	C24H38N7O19P3S	853.115603	HMDB01175	C00083	869	MalonylCoA
	"12-dehydrocholic acid"	Steroids	C24H38O5	406.271924	HMDB00400		94235	"12-dehydrocholic acid"
	Malonamoyl-CoA	todo2	C24H39N8O18P3S	852.131587	NA	C06625	11966156	Malonamoyl-CoA
	PropanoylCoA	todo	C24H40N7O17P3S	823.141424	HMDB01275	C00100	92753	PropanoylCoA
	"Long-chain acyl-CoA"	todo2	C24H40N7O17P3S	823.141424	NA	C02843	92753	"Long-chain acyl-CoA"
	3-hydroxypropionylCoA	todo	C24H40N7O18P3S	839.136338	HMDB06807	C05668	11966171	3-hydroxypropionylCoA
	Lactoyl-CoA	todo2	C24H40N7O18P3S	839.136338	HMDB02346	C00827	3081970	Lactoyl-CoA
	Cyclomaltodextrin	todo2	C24H40O20	648.211294	NA	C00973	46173710	Cyclomaltodextrin
	"Lithocholic acid"	Steroids	C24H40O3	376.297745	HMDB00761	C03990	11740284	"Lithocholic acid"
	"Isolithocholate;;Isolithocholic acid;;beta-Lithocholic acid;;beta-Lithocholanic acid;;3-Epilithocholic acid;;3beta-Hydroxy-5beta-cholan-24-oic acid;;3beta-Hydroxy-5beta-cholan-24-oic acid"	todo2	C24H40O3	376.297745	HMDB00717	C17658	164853	Isolithocholate
	"6b-hydroxylithocholic acid"	Steroids	C24H40O4	392.29266	HMDB00811	C15515	5283821	"6b-hydroxylithocholic acid"
	"Chenodeoxycholic acid"	Steroids	C24H40O4	392.29266	HMDB00518	C02528	10133	"Chenodeoxycholic acid"
	"Deoxycholic acid"	Steroids	C24H40O4	392.29266	HMDB00626	C11171;C04483	222528	"Deoxycholic acid"
	"Hyodeoxycholic acid"	Steroids	C24H40O4	392.29266	HMDB00733		9963687	"Hyodeoxycholic acid"
	"Ursodeoxycholic acid"	Steroids	C24H40O4	392.29266	HMDB00946	C07880	31401	"Ursodeoxycholic acid"
	"Hyodeoxycholate;;Hyodesoxycholic acid;;6alpha-Hydroxylithocholate;;Iodeoxycholic acid;;3alpha,6alpha-Dihydroxy-5beta-cholanic acid"	todo2	C24H40O4	392.29266	NA	C15517	5283820	Hyodeoxycholate
	"12-Epideoxycholic acid;;12-Epideoxycholate"	todo2	C24H40O4	392.29266	HMDB00411	C17646	5283831	"12-Epideoxycholic acid"
	"Isochenodeoxycholate;;Isochenodeoxycholic acid;;3beta,7alpha-Dihydroxy-5beta-cholanic acid"	todo2	C24H40O4	392.29266	HMDB00361	C17660	164673	Isochenodeoxycholate
	"Isoursodeoxycholate;;Isoursodeoxycholic acid;;3beta,7beta-Dihydroxy-5beta-cholanoic acid;;3beta,7beta-Dihydroxy-5beta-cholan-24-oic acid"	todo2	C24H40O4	392.29266	HMDB00686	C17662	127601	Isoursodeoxycholate
	"Allochenodeoxycholate;;Allochenodeoxycholic acid;;3alpha,7alpha-Dihydroxy-5alpha-cholanoic acid"	todo2	C24H40O4	392.29266	NA	C17664	5283827	Allochenodeoxycholate
	"Allodeoxycholate;;5alpha-Deoxycholic acid;;3alpha,12alpha-Dihydroxy-5alpha-cholanoic acid"	todo2	C24H40O4	392.29266	NA	C17687	5283833	Allodeoxycholate
	"Alpha-muricholic acid"	Steroids	C24H40O5	408.287574	HMDB00506	C17647	3083761	"Alpha-muricholic acid"
	"Beta-muricholic acid"	Steroids	C24H40O5	408.287574	HMDB00415	C17726	3083762	"Beta-muricholic acid"
	"Cholic acid"	Steroids	C24H40O5	408.287574	HMDB00619	C00695;C01558	221493	"Cholic acid"
	"Muricholic acid"	Steroids	C24H40O5	408.287574	HMDB00865		119473	"Muricholic acid"
	"Ursocholate;;Ursocholic acid;;3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid;;3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid;;7beta-Hydroxyisocholic acid;;7-Epicholic acid"	todo2	C24H40O5	408.287574	HMDB00917	C17644	122340	Ursocholate
	"Hyocholate;;Hyocholic acid;;Iocholic acid;;gamma-Muricholate;;alpha-Hyocholic acid;;3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oic acid;;6alpha-Hydroxychenodeoxycholic acid"	todo2	C24H40O5	408.287574	NA	C17649	92805	Hyocholate
	"Vulpecholate;;Vulpecholic acid;;1alpha,3alpha,7alpha-Trihydroxy-5beta-cholan-24-oic acid"	todo2	C24H40O5	408.287574	NA	C17650	5283845	Vulpecholate
	"beta-Phocaecholate;;beta-Phocaecholic acid;;(23R)-Hydroxychenodeoxycholate"	todo2	C24H40O5	408.287574	NA	C17654	128357	beta-Phocaecholate
	"Bitocholate;;Bitocholic acid"	todo2	C24H40O5	408.287574	NA	C17657	5283892	Bitocholate
	"Avicholate;;Avicholic acid"	todo2	C24H40O5	408.287574	NA	C17667	5283886	Avicholate
	"Haemulcholate;;Hemulcholic acid;;3alpha,7alpha,22-Trihydroxy-5beta-cholan-24-oic acid"	todo2	C24H40O5	408.287574	NA	C17668	5283882	Haemulcholate
	"omega-Muricholate;;omega-Muricholic acid"	todo2	C24H40O5	408.287574	HMDB00364	C17727	5283851	omega-Muricholate
	"Allocholic acid;;Allocholate;;3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholanoic acid"	todo2	C24H40O5	408.287574	NA	C17737	160636	"Allocholic acid"
	"alpha-Phocaecholic acid;;3alpha,7alpha,12alpha,23R-Tetrahydroxycholanic acid"	todo2	C24H40O6	424.282489	NA	C17651	193429	"alpha-Phocaecholic acid"
	beta-Alanyl-CoA	todo2	C24H41N8O17P3S	838.152323	HMDB06805	C02335	11966133	beta-Alanyl-CoA
	Maltotetraose	Carbohydrates	C24H42O21	666.221858	HMDB01296	C02052	446495	Maltotetraose
	Stachyose	todo2	C24H42O21	666.221858	HMDB03553	C01613	439531	Stachyose
	Cellotetraose	todo2	C24H42O21	666.221858	NA	C02013	439626	Cellotetraose
	"Tetracosenoic acid"	Lipids	C24H46O2	366.349781	HMDB02368	C08323	5281120	"Tetracosenoic acid"
	Psychosine;;Galactosylsphingosine;;O-Galactosylsphingosine	todo2	C24H47NO7	461.335253	HMDB00648	C01747	5280458	Psychosine
	PCae(16:1)	Lipids	C24H48NO7P	493.31684	HMDB10383		24779461;24779462;24779460	PCae(16:1)
	"Lignoceric acid"	Lipids	C24H48O2	368.365431	HMDB02003	C08320	11197	"Lignoceric acid"
	PCae(P-16:0)	Lipids	C24H50NO6P	479.337575	HMDB10407		10917802	PCae(P-16:0)
	PCae(16:0)	Lipids	C24H50NO7P	495.33249	HMDB10382		460602;9827122;15061532;10097314;86554	PCae(16:0)
	PCee(16:0)	Lipids	C24H52NO6P	481.353225				PCee(16:0)
	"Formononetin 7-O-glucoside-6-O-malonate"	todo2	C25H24O12	516.126776	NA	C16222	23724663	"Formononetin 7-O-glucoside-6-O-malonate"
	"Biochanin A 7-O-(6-O-malonyl-beta-D-glucoside);;Biochanin A 7-O-beta-D-glucoside 6-O-malonate"	todo2	C25H24O13	532.121691	HMDB30640	C12625	5282148	"Biochanin A 7-O-(6-O-malonyl-beta-D-glucoside)"
	Malonylglycitin	todo2	C25H24O13	532.121691	HMDB39323	C16197	23724657	Malonylglycitin
	(-)-Maackiain-3-O-glucosyl-6-O-malonate	todo2	C25H24O13	532.121691	NA	C16231	23724669	(-)-Maackiain-3-O-glucosyl-6-O-malonate
	"Medicarpin 3-O-glucoside-6-malonate"	todo2	C25H26O12	518.142426	NA	C16224	23724665	"Medicarpin 3-O-glucoside-6-malonate"
	N-Desmethyltamoxifen	todo2	C25H27NO	357.209264	HMDB13866	C16546	6378383	N-Desmethyltamoxifen
	Endoxifen;;4-Hydroxy-N-desmethyltamoxifen	todo2	C25H27NO2	373.204179	NA	C16547	10090750	Endoxifen
	alpha-Hydroxy-N-desmethyltamoxifen	todo2	C25H27NO2	373.204179	NA	C16549	10474509	alpha-Hydroxy-N-desmethyltamoxifen
	Alangiside	todo2	C25H31NO10	505.194796	NA	C09330	442161	Alangiside
	Isoalangiside	todo2	C25H31NO10	505.194796	NA	C11815	443420	Isoalangiside
	Vindoline	todo2	C25H32N2O6	456.226037	NA	C01626	11953805	Vindoline
	"2-Methoxyestrone 3-glucuronide"	todo2	C25H32O9	476.204633	HMDB04482	C11132	443077	"2-Methoxyestrone 3-glucuronide"
	Deacetylisoipecoside	todo2	C25H33NO11	523.205361	NA	C07304	441257	Deacetylisoipecoside
	Deacetylipecoside	todo2	C25H33NO11	523.205361	NA	C07307	441259	Deacetylipecoside
	"2-Methoxy-estradiol-17beta 3-glucuronide"	todo2	C25H34O9	478.220283	HMDB06765	C11131	443076	"2-Methoxy-estradiol-17beta 3-glucuronide"
	"Testosterone glucuronide;;Testosterone 17beta-(beta-D-glucuronide)"	todo2	C25H36O8	464.241018	HMDB03193	C11134	108192	"Testosterone glucuronide"
	"Androsterone glucuronide;;Androsterone 3-glucuronide"	todo2	C25H38O8	466.256668	HMDB02829	C11135	114833	"Androsterone glucuronide"
	"Etiocholan-3alpha-ol-17-one 3-glucuronide"	todo2	C25H38O8	466.256668	HMDB04484	C11136	443078	"Etiocholan-3alpha-ol-17-one 3-glucuronide"
	"Leukotriene D4;;LTD4"	todo2	C25H40N2O6S	496.260708	HMDB03080	C05951	5280878	"Leukotriene D4"
	CrotonoylCoA	todo	C25H40N7O17P3S	835.141424	HMDB02009	C00877	5497143	CrotonoylCoA
	Vinylacetyl-CoA;;3-Butenoyl-CoA;;But-3-enoyl-CoA	todo2	C25H40N7O17P3S	835.141424	NA	C02331	11966119	Vinylacetyl-CoA
	2-Methylprop-2-enoyl-CoA;;Methacrylyl-CoA;;Methylacrylyl-CoA	todo2	C25H40N7O17P3S	835.141424	HMDB01011	C03460	165390	2-Methylprop-2-enoyl-CoA
	Cyclopropanecarboxyl-CoA	todo2	C25H40N7O17P3S	835.141424	NA	C16268	9543331	Cyclopropanecarboxyl-CoA
	AcetoacetylCoA	todo	C25H40N7O18P3S	851.136338	HMDB01484	C00332	92153	AcetoacetylCoA
	MethylmalonylCoA	todo	C25H40N7O19P3S	867.131253	HMDB02255;HMDB02310;HMDB01269	C00683;C01213;C02557	123909;449534;11966111	MethylmalonylCoA
	SuccinylCoA	Energy	C25H40N7O19P3S	867.131253	HMDB01022	C00091	1111	SuccinylCoA
	MalylCoA	todo	C25H40N7O20P3S	883.126168	HMDB01021	C04348	11966145	MalylCoA
	2-methylpropanoylCoA	todo	C25H42N7O17P3S	837.157074	HMDB01243	C00630	3036931	2-methylpropanoylCoA
	Butanoyl-CoA;;Butyryl-CoA	todo2	C25H42N7O17P3S	837.157074	HMDB01088	C00136	122283	Butanoyl-CoA
	4-hydroxybutyrylCoA	todo	C25H42N7O18P3S	853.151988		C11062	11966192	4-hydroxybutyrylCoA
	HydroxybutanoylCoA	todo	C25H42N7O18P3S	853.151988	HMDB01166	C01144;C03561	9543037;11966146	HydroxybutanoylCoA
	(S)-3-Hydroxyisobutyryl-CoA	todo2	C25H42N7O18P3S	853.151988	HMDB01052	C06000	11966163	(S)-3-Hydroxyisobutyryl-CoA
	Viomycin	todo2	C25H43N13O10	685.325585	NA	C01540	3037981	Viomycin
	L-3-Aminobutyryl-CoA	todo2	C25H43N8O17P3S	852.167973	HMDB12248	C05231	11966128	L-3-Aminobutyryl-CoA
	1-arachidonoylglycerophosphoethanolamine	Lipids	C25H44NO7P	501.285539	HMDB11517		42607465	1-arachidonoylglycerophosphoethanolamine
	Dolichol	todo2	C25H44O	360.339216	HMDB05176	C00381	24892719	Dolichol
	"Dehydrodolichol diphosphate;;Dehydrodolichyl diphosphate;;ditrans,polycis-Polyprenyl diphosphate"	todo2	C25H44O7P2	518.256227	NA	C05859	24892764	"Dehydrodolichol diphosphate"
	"Carnitine C18:2"	Lipids	C25H45NO4	423.334859	HMDB06469;HMDB06461		6450015;53477834	"Carnitine C18:2"
	"Dolichyl phosphate;;Dolichol phosphate"	todo2	C25H45O4P	440.305547	HMDB06353	C00110	24892715	"Dolichyl phosphate"
	"Dolichyl diphosphate;;Dolichol diphosphate"	todo2	C25H46O7P2	520.271877	HMDB01513	C00621	24892721	"Dolichyl diphosphate"
	"2-N-Acetyl-6-deamino-6-hydroxyneomycin C"	todo2	C25H47N5O15	657.306866	NA	C17587	46173950	"2-N-Acetyl-6-deamino-6-hydroxyneomycin C"
